Alabama,,,Legal,Illegal,
,Autauga County,,Legal,Illegal,
,Baldwin County,,Legal,Illegal,
,Barbour County,,Legal,Illegal,
,Bibb County,,Legal,Illegal,
,Blount County,,Legal,Illegal,
,Bullock County,,Legal,Illegal,
,Butler County,,Legal,Illegal,
,Calhoun County,,Legal,Illegal,
,Chambers County,,Legal,Illegal,
,Cherokee County,,Legal,Illegal,
,Chilton County,,Legal,Illegal,
,Choctaw County,,Legal,Illegal,
,Clarke County,,Legal,Illegal,
,Clay County,,Legal,Illegal,
,Cleburne County,,Legal,Illegal,
,Coffee County,,Legal,Illegal,
,Colbert County,,Legal,Illegal,
,Conecuh County,,Legal,Illegal,
,Coosa County,,Legal,Illegal,
,Covington County,,Legal,Illegal,
,Crenshaw County,,Legal,Illegal,
,Cullman County,,Legal,Illegal,
,Dale County,,Legal,Illegal,
,Dallas County,,Legal,Illegal,
,DeKalb County,,Legal,Illegal,
,Elmore County,,Legal,Illegal,
,Escambia County,,Legal,Illegal,
,Etowah County,,Legal,Illegal,
,Fayette County,,Legal,Illegal,
,Franklin County,,Legal,Illegal,
,Geneva County,,Legal,Illegal,
,Greene County,,Legal,Illegal,
,Hale County,,Legal,Illegal,
,Henry County,,Legal,Illegal,
,Houston County,,Legal,Illegal,
,Jackson County,,Legal,Illegal,
,Jefferson County,,Legal,Decriminalized,Personal use amount
,Lamar County,,Legal,Illegal,
,Lauderdale County,,Legal,Illegal,
,Lawrence County,,Legal,Illegal,
,Lee County,,Legal,Illegal,
,Limestone County,,Legal,Illegal,
,Lowndes County,,Legal,Illegal,
,Macon County,,Legal,Illegal,
,Madison County,,Legal,Illegal,
,Marengo County,,Legal,Illegal,
,Marion County,,Legal,Illegal,
,Marshall County,,Legal,Illegal,
,Mobile County,,Legal,Illegal,
,Monroe County,,Legal,Illegal,
,Montgomery County,,Legal,Illegal,
,Morgan County,,Legal,Illegal,
,Perry County,,Legal,Illegal,
,Pickens County,,Legal,Illegal,
,Pike County,,Legal,Illegal,
,Randolph County,,Legal,Illegal,
,Russell County,,Legal,Illegal,
,St. Clair County,,Legal,Illegal,
,Shelby County,,Legal,Illegal,
,Sumter County,,Legal,Illegal,
,Talladega County,,Legal,Illegal,
,Tallapoosa County,,Legal,Illegal,
,Tuscaloosa County,,Legal,Illegal,
,,Tuscaloosa,Legal,Decriminalized,Personal use amount
,Walker County,,Legal,Illegal,
,Washington County,,Legal,Illegal,
,Wilcox County,,Legal,Illegal,
,Winston County,,Legal,Illegal,
Alaska,,,Legal,Legal,
,Aleutians East Borough,,Legal,Legal,
,Anchorage,,Legal,Legal,
,Bristol Bay Borough,,Legal,Legal,
,Denali Borough,,Legal,Legal,
,Fairbanks North Star Borough,,Legal,Legal,
,Haines Borough,,Legal,Legal,
,Juneau,,Legal,Legal,
,Kenai Peninsula Borough,,Legal,Legal,
,Ketchikan Gateway Borough,,Legal,Legal,
,Kodiak Island Borough,,Legal,Legal,
,Lake and Peninsula Borough,,Legal,Legal,
,Matanuska-Susitna Borough,,Legal,Legal,
,North Slope Borough,,Legal,Legal,
,Northwest Arctic Borough,,Legal,Legal,
,Petersburg Borough,,Legal,Legal,
,Sitka,,Legal,Legal,
,Skagway,,Legal,Legal,
,Unorganized Borough,,Legal,Legal,
,Wrangell,,Legal,Legal,
,Yakutat,,Legal,Legal,
Arizona,,,Legal,Legal,
,Apache County,,Legal,Legal,
,Cochise County,,Legal,Legal,
,Coconino County,,Legal,Legal,
,Gila County,,Legal,Legal,
,Graham County,,Legal,Legal,
,Greenlee County,,Legal,Legal,
,La Paz County,,Legal,Legal,
,Maricopa County,,Legal,Legal,
,Mohave County,,Legal,Legal,
,Navajo County,,Legal,Legal,
,Pima County,,Legal,Legal,
,Pinal County,,Legal,Legal,
,Santa Cruz County,,Legal,Legal,
,Yavapai County,,Legal,Legal,
,Yuma County,,Legal,Legal,
Arkansas,,,Legal,Illegal,
,Arkansas County,,Legal,Illegal,
,Ashley County,,Legal,Illegal,
,Baxter County,,Legal,Illegal,
,Benton County,,Legal,Illegal,
,Boone County,,Legal,Illegal,
,Bradley County,,Legal,Illegal,
,Calhoun County,,Legal,Illegal,
,Carroll County,,Legal,Illegal,
,,Eureka Springs,Legal,Decriminalized,
,Chicot County,,Legal,Illegal,
,Clark County,,Legal,Illegal,
,Clay County,,Legal,Illegal,
,Cleburne County,,Legal,Illegal,
,Cleveland County,,Legal,Illegal,
,Columbia County,,Legal,Illegal,
,Conway County,,Legal,Illegal,
,Craighead County,,Legal,Illegal,
,Crawford County,,Legal,Illegal,
,Crittenden County,,Legal,Illegal,
,Cross County,,Legal,Illegal,
,Dallas County,,Legal,Illegal,
,Desha County,,Legal,Illegal,
,Drew County,,Legal,Illegal,
,Faulkner County,,Legal,Illegal,
,Franklin County,,Legal,Illegal,
,Fulton County,,Legal,Illegal,
,Garland County,,Legal,Illegal,
,Grant County,,Legal,Illegal,
,Greene County,,Legal,Illegal,
,Hempstead County,,Legal,Illegal,
,Hot Spring County,,Legal,Illegal,
,Howard County,,Legal,Illegal,
,Independence County,,Legal,Illegal,
,Izard County,,Legal,Illegal,
,Jackson County,,Legal,Illegal,
,Jefferson County,,Legal,Illegal,
,Johnson County,,Legal,Illegal,
,Lafayette County,,Legal,Illegal,
,Lawrence County,,Legal,Illegal,
,Lee County,,Legal,Illegal,
,Lincoln County,,Legal,Illegal,
,Little River County,,Legal,Illegal,
,Logan County,,Legal,Illegal,
,Lonoke County,,Legal,Illegal,
,Madison County,,Legal,Illegal,
,Marion County,,Legal,Illegal,
,Miller County,,Legal,Illegal,
,Mississippi County,,Legal,Illegal,
,Monroe County,,Legal,Illegal,
,Montgomery County,,Legal,Illegal,
,Nevada County,,Legal,Illegal,
,Newton County,,Legal,Illegal,
,Ouachita County,,Legal,Illegal,
,Perry County,,Legal,Illegal,
,Phillips County,,Legal,Illegal,
,Pike County,,Legal,Illegal,
,Poinsett County,,Legal,Illegal,
,Polk County,,Legal,Illegal,
,Pope County,,Legal,Illegal,
,Prairie County,,Legal,Illegal,
,Pulaski County,,Legal,Illegal,
,,Little Rock,Legal,Decriminalized,Personal use amount
,Randolph County,,Legal,Illegal,
,St. Francis County,,Legal,Illegal,
,Saline County,,Legal,Illegal,
,Scott County,,Legal,Illegal,
,Searcy County,,Legal,Illegal,
,Sebastian County,,Legal,Illegal,
,Sevier County,,Legal,Illegal,
,Sharp County,,Legal,Illegal,
,Stone County,,Legal,Illegal,
,Union County,,Legal,Illegal,
,Van Buren County,,Legal,Illegal,
,Washington County,,Legal,Illegal,
,,Fayetteville,Legal,Decriminalized,1 ounce
,White County,,Legal,Illegal,
,Woodruff County,,Legal,Illegal,
,Yell County,,Legal,Illegal,
California,,,Legal,Legal,
,Alameda County,,Legal,Legal,
,Alpine County,,Legal,Legal,
,Amador County,,Legal,Legal,
,Butte County,,Legal,Legal,
,Calaveras County,,Legal,Legal,
,Colusa County,,Legal,Legal,
,Contra Costa County,,Legal,Legal,
,Del Norte County,,Legal,Legal,
,El Dorado County,,Legal,Legal,
,Fresno County,,Legal,Legal,
,Glenn County,,Legal,Legal,
,Humboldt County,,Legal,Legal,
,Imperial County,,Legal,Legal,
,Inyo County,,Legal,Legal,
,Kern County,,Legal,Legal,
,Kings County,,Legal,Legal,
,Lake County,,Legal,Legal,
,Lassen County,,Legal,Legal,
,Los Angeles County,,Legal,Legal,
,Madera County,,Legal,Legal,
,Marin County,,Legal,Legal,
,Mariposa County,,Legal,Legal,
,Mendocino County,,Legal,Legal,
,Merced County,,Legal,Legal,
,Modoc County,,Legal,Legal,
,Mono County,,Legal,Legal,
,Monterey County,,Legal,Legal,
,Napa County,,Legal,Legal,
,Nevada County,,Legal,Legal,
,Orange County,,Legal,Legal,
,Placer County,,Legal,Legal,
,Plumas County,,Legal,Legal,
,Riverside County,,Legal,Legal,
,Sacramento County,,Legal,Legal,
,San Benito County,,Legal,Legal,
,San Bernardino County,,Legal,Legal,
,San Diego County,,Legal,Legal,
,San Francisco,,Legal,Legal,
,San Joaquin County,,Legal,Legal,
,San Luis Obispo County,,Legal,Legal,
,San Mateo County,,Legal,Legal,
,Santa Barbara County,,Legal,Legal,
,Santa Clara County,,Legal,Legal,
,Santa Cruz County,,Legal,Legal,
,Shasta County,,Legal,Legal,
,Sierra County,,Legal,Legal,
,Siskiyou County,,Legal,Legal,
,Solano County,,Legal,Legal,
,Sonoma County,,Legal,Legal,
,Stanislaus County,,Legal,Legal,
,Sutter County,,Legal,Legal,
,Tehama County,,Legal,Legal,
,Trinity County,,Legal,Legal,
,Tulare County,,Legal,Legal,
,Tuolumne County,,Legal,Legal,
,Ventura County,,Legal,Legal,
,Yolo County,,Legal,Legal,
,Yuba County,,Legal,Legal,
Colorado,,,Legal,Legal,
,Adams County,,Legal,Legal,
,Alamosa County,,Legal,Legal,
,Arapahoe County,,Legal,Legal,
,Archuleta County,,Legal,Legal,
,Baca County,,Legal,Legal,
,Bent County,,Legal,Legal,
,Boulder County,,Legal,Legal,
,City and County of Broomfield,,Legal,Legal,
,Chaffee County,,Legal,Legal,
,Cheyenne County,,Legal,Legal,
,Clear Creek County,,Legal,Legal,
,Conejos County,,Legal,Legal,
,Costilla County,,Legal,Legal,
,Crowley County,,Legal,Legal,
,Custer County,,Legal,Legal,
,Delta County,,Legal,Legal,
,City and County of Denver,,Legal,Legal,
,Dolores County,,Legal,Legal,
,Douglas County,,Legal,Legal,
,Eagle County,,Legal,Legal,
,El Paso County,,Legal,Legal,
,Elbert County,,Legal,Legal,
,Fremont County,,Legal,Legal,
,Garfield County,,Legal,Legal,
,Gilpin County,,Legal,Legal,
,Grand County,,Legal,Legal,
,Gunnison County,,Legal,Legal,
,Hinsdale County,,Legal,Legal,
,Huerfano County,,Legal,Legal,
,Jackson County,,Legal,Legal,
,Jefferson County,,Legal,Legal,
,Kiowa County,,Legal,Legal,
,Kit Carson County,,Legal,Legal,
,La Plata County,,Legal,Legal,
,Lake County,,Legal,Legal,
,Larimer County,,Legal,Legal,
,Las Animas County,,Legal,Legal,
,Lincoln County,,Legal,Legal,
,Logan County,,Legal,Legal,
,Mesa County,,Legal,Legal,
,Mineral County,,Legal,Legal,
,Moffat County,,Legal,Legal,
,Montezuma County,,Legal,Legal,
,Montrose County,,Legal,Legal,
,Morgan County,,Legal,Legal,
,Otero County,,Legal,Legal,
,Ouray County,,Legal,Legal,
,Park County,,Legal,Legal,
,Phillips County,,Legal,Legal,
,Pitkin County,,Legal,Legal,
,Prowers County,,Legal,Legal,
,Pueblo County,,Legal,Legal,
,Rio Blanco County,,Legal,Legal,
,Rio Grande County,,Legal,Legal,
,Routt County,,Legal,Legal,
,Saguache County,,Legal,Legal,
,San Juan County,,Legal,Legal,
,San Miguel County,,Legal,Legal,
,Sedgwick County,,Legal,Legal,
,Summit County,,Legal,Legal,
,Teller County,,Legal,Legal,
,Washington County,,Legal,Legal,
,Weld County,,Legal,Legal,
,Yuma County,,Legal,Legal,
Connecticut,,,Legal,Legal,
,Fairfield County,,Legal,Legal,
,Hartford County,,Legal,Legal,
,Litchfield County,,Legal,Legal,
,Middlesex County,,Legal,Legal,
,New Haven County,,Legal,Legal,
,New London County,,Legal,Legal,
,Tolland County,,Legal,Legal,
,Windham County,,Legal,Legal,
Delaware,,,Legal,Legal,
,Kent County,,Legal,Legal,
,New Castle County,,Legal,Legal,
,Sussex County,,Legal,Legal,
Florida,,,Legal,Illegal,
,Alachua County,,Legal,Decriminalized,20 grams
,Baker County,,Legal,Illegal,
,Bay County,,Legal,Illegal,
,Bradford County,,Legal,Illegal,
,Brevard County,,Legal,Illegal,
,,Cocoa Beach,Legal,Decriminalized,20 grams
,Broward County,,Legal,Decriminalized,20 grams
,,Hallandale Beach,Legal,Decriminalized,20 grams
,Calhoun County,,Legal,Illegal,
,Charlotte County,,Legal,Illegal,
,Citrus County,,Legal,Illegal,
,Clay County,,Legal,Illegal,
,Collier County,,Legal,Illegal,
,Columbia County,,Legal,Illegal,
,DeSoto County,,Legal,Illegal,
,Dixie County,,Legal,Illegal,
,Duval County,,Legal,Illegal,
,Escambia County,,Legal,Illegal,
,Flagler County,,Legal,Illegal,
,Franklin County,,Legal,Illegal,
,Gadsden County,,Legal,Illegal,
,Gilchrist County,,Legal,Illegal,
,Glades County,,Legal,Illegal,
,Gulf County,,Legal,Illegal,
,Hamilton County,,Legal,Illegal,
,Hardee County,,Legal,Illegal,
,Hendry County,,Legal,Illegal,
,Hernando County,,Legal,Illegal,
,Highlands County,,Legal,Illegal,
,Hillsborough County,,Legal,Illegal,
,,Tampa,Legal,Decriminalized,20 grams
,Holmes County,,Legal,Illegal,
,Indian River County,,Legal,Illegal,
,Jackson County,,Legal,Illegal,
,Jefferson County,,Legal,Illegal,
,Lafayette County,,Legal,Illegal,
,Lake County,,Legal,Illegal,
,Lee County,,Legal,Illegal,
,Leon County,,Legal,Illegal,
,Levy County,,Legal,Illegal,
,Liberty County,,Legal,Illegal,
,Madison County,,Legal,Illegal,
,Manatee County,,Legal,Illegal,
,Marion County,,Legal,Illegal,
,Martin County,,Legal,Illegal,
,Miami-Dade County,,Legal,Decriminalized,20 grams
,,Miami Beach,Legal,Decriminalized,20 grams
,Monroe County,,Legal,Illegal,
,,Key West,Legal,Decriminalized,20 grams
,Nassau County,,Legal,Illegal,
,Okaloosa County,,Legal,Illegal,
,Okeechobee County,,Legal,Illegal,
,Orange County,,Legal,Illegal,
,,Orlando,Legal,Decriminalized,20 grams
,Osceola County,,Legal,Decriminalized,20 grams
,Palm Beach County,,Legal,Decriminalized,20 grams
,Pasco County,,Legal,Illegal,
,,Port Richey,Legal,Decriminalized,20 grams
,Pinellas County,,Legal,Illegal,
,Polk County,,Legal,Illegal,
,Putnam County,,Legal,Illegal,
,St. Johns County,,Legal,Illegal,
,St. Lucie County,,Legal,Illegal,
,Santa Rosa County,,Legal,Illegal,
,Sarasota County,,Legal,Illegal,
,,Sarasota,Legal,Decriminalized,20 grams
,Seminole County,,Legal,Illegal,
,Sumter County,,Legal,Illegal,
,Suwannee County,,Legal,Illegal,
,Taylor County,,Legal,Illegal,
,Union County,,Legal,Illegal,
,Volusia County,,Legal,Decriminalized,20 grams
,Wakulla County,,,,
,Walton County,,,,
,Washington County,,,,
Georgia,,,Illegal,Illegal,
,Appling County,,Illegal,Illegal,
,Atkinson County,,Illegal,Illegal,
,Bacon County,,Illegal,Illegal,
,Baker County,,Illegal,Illegal,
,Baldwin County,,Illegal,Illegal,
,Banks County,,Illegal,Illegal,
,Barrow County,,Illegal,Illegal,
,Bartow County,,Illegal,Illegal,
,Ben Hill County,,Illegal,Illegal,
,Berrien County,,Illegal,Illegal,
,Bibb County,,Illegal,Illegal,
,Bleckley County,,Illegal,Illegal,
,Brantley County,,Illegal,Illegal,
,Brooks County,,Illegal,Illegal,
,Bryan County,,Illegal,Illegal,
,Bulloch County,,Illegal,Illegal,
,Burke County,,Illegal,Illegal,
,Butts County,,Illegal,Illegal,
,Calhoun County,,Illegal,Illegal,
,Camden County,,Illegal,Illegal,
,,Kingsland,Illegal,Decriminalized,1 ounce
,Candler County,,Illegal,Illegal,
,Carroll County,,Illegal,Illegal,
,Catoosa County,,Illegal,Illegal,
,Charlton County,,Illegal,Illegal,
,Chatham County,,Illegal,Illegal,
,,Savannah,Illegal,Decriminalized,1 ounce
,,Tybee Island,Illegal,Decriminalized,1 ounce
,Chattahoochee County,,Illegal,Illegal,
,Chattooga County,,Illegal,Illegal,
,Cherokee County,,Illegal,Illegal,
,Clarke County,,Illegal,Illegal,
,,Athens,Illegal,Decriminalized,1 ounce
,Clay County,,Illegal,Illegal,
,Clayton County,,Illegal,Illegal,
,,Forest Park,Illegal,Decriminalized,1 ounce
,Clinch County,,Illegal,Illegal,
,Cobb County,,Illegal,Illegal,
,Coffee County,,Illegal,Illegal,
,Colquitt County,,Illegal,Illegal,
,Columbia County,,Illegal,Illegal,
,Cook County,,Illegal,Illegal,
,Coweta County,,Illegal,Illegal,
,Crawford County,,Illegal,Illegal,
,Crisp County,,Illegal,Illegal,
,Dade County,,Illegal,Illegal,
,Dawson County,,Illegal,Illegal,
,Decatur County,,Illegal,Illegal,
,DeKalb County,,Illegal,Illegal,
,,Clarkston,Illegal,Decriminalized,1 ounce
,,Stonecrest,Illegal,Decriminalized,1 ounce
,Dodge County,,Illegal,Illegal,
,Dooly County,,Illegal,Illegal,
,Dougherty County,,Illegal,Illegal,
,Douglas County,,Illegal,Illegal,
,Early County,,Illegal,Illegal,
,Echols County,,Illegal,Illegal,
,Effingham County,,Illegal,Illegal,
,Elbert County,,Illegal,Illegal,
,Emanuel County,,Illegal,Illegal,
,Evans County,,Illegal,Illegal,
,Fannin County,,Illegal,Illegal,
,Fayette County,,Illegal,Illegal,
,Floyd County,,Illegal,Illegal,
,Forsyth County,,Illegal,Illegal,
,Franklin County,,Illegal,Illegal,
,Fulton County,,Illegal,Decriminalized,1 ounce
,,Atlanta,Illegal,Decriminalized,1 ounce
,,South Fulton,Illegal,Decriminalized,1 ounce
,Gilmer County,,Illegal,Illegal,
,Glascock County,,Illegal,Illegal,
,Glynn County,,Illegal,Illegal,
,Gordon County,,Illegal,Illegal,
,Grady County,,Illegal,Illegal,
