Year,Artist,Album,Role
2025,Eric Hölljes,Exactly What I Asked For,Mixing
2025,Kids That Fly,Dead Beat City,"Producer, Engineer, Mixing"
2025,Mainthing,Mainthing,Mixing
2025,The Hunts,Hibernating Heart,"Additional Engineering, Mixing"
2025,The Marigolds,The Silver Lining,"Producer, Engineer, Mixing"
2025,The Wants,Bastard,Engineer
2025,Vil,Moons,Mixing
2024,Allman Brown,Second Son,Engineer
2024,Audio Jane,We Always Make A Mess Of Things,"Co-Producer, Engineer, Mixing"
2024,Ceiling Spirits,The Bloodwren,Engineer
2024,Side Saddle,Forever and a Little While,Engineer
2024,The Marigolds,LUMA,"Producer, Engineer, Mixing"
2024,Young Man Winter,Leading Light,"Co-Producer, Engineer, Mixing"
2023,John Airfield,Later,"Co-Production, Engineering, Mixing, Mastering"
2023,Ronnie Blue,Single: At The Pond,Mixing
2023,The Gaslight Anthem,History Books,Engineer
2023,The National,First Two Pages of Frankenstein,Engineer
2022,PUP,The Unraveling of Puptheband,Engineer
2022,Wild Rivers,Sidelines,Engineer
2021,Delta Rae,The Dark,"Mixing, Mastering"
2021,John Airfield,TNT,"Engineering, Mixing, Mastering"
2021,Morningsiders,This Could Be Good,Engineer
2021,Nicotine Dolls,"Sex, Addiction, And Everyone Else",Mixing
2020,Atlantic Runway,Atlantic Runway,Mixing
2020,Brian Fallon,Local Honey,Engineer
2020,Darlingside,Fish Pond Fish,Engineer
2020,Delta Rae,The Light,Mixing
2020,John Airfield,1999,"Mixing, Mastering"
2020,LULLANAS,Before Everything Got Real,Engineer
2020,Nicotine Dolls,Single: Should Have Danced,"Co-Producer, Engineer, Mixing"
2020,William McCarthy,Tryin' to See The Light,Mixing
2020,William McCarthy,Shelter,Mixing
2020,William McCarthy,Ballad For The Unemployed,Mixing
2019,Death Cab for Cutie,The Blue EP,Engineer
2019,Gatlin Elms,Locked Doors,Mixing
2019,John Shakespear,Spend Your Youth,Mixing
2019,Nicotine Dolls,Single: 2 Weaks,"Co-Producer, Engineer, Mixing"
2019,Nicotine Dolls,Single: Fake,"Co-Producer, Engineer, Mixing"
2019,Nicotine Dolls,Single: The Madness,"Co-Producer, Engineer, Mixing"
2019,Nicotine Dolls,Single: Burning a Good Thing,"Co-Producer, Engineer, Mixing"
2019,Noble Kids,Messy Pretty,"Co-Producer, Engineer, Mixing"
2019,Oliver Spalding,Novemberism,Mixing
2019,Pete Francis,Belong To The Band,Mixing
2019,The Get Up Kids,Problems,Engineer
2019,The Moth & The Flame,Ruthless,Engineer
2019,Titus Haug,River Eyes,"Co-Producer, Engineer, Mixing"
2019,William McCarthy,the bloodline,Mixing
2019,Wyn Doran,Thick of It,"Mixing, Mastering"
